Sl  No,Name,Rate of Wages,No of Days Worked,Overtime hours worked,Basic,Special Basic,DA,Payments Overtime,HRA,Others,Total,Deductions,,,,,,,,Net Payment,Employer Share PF Welfare Fund,Receipt by Employee/ Bank Tranaction ID,Date of Payment,Remarks,,,
26,Employer 26,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
27,Employer 27,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
28,Employer 28,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
29,Employer 29,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
30,Employer 30,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
31,Employer 31,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
32,Employer 32,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
33,Employer 33,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
34,Employer 34,805,13,-,523,-,282,-,-,-,10465,1256,79,-,-,-,340,0,1335,9130,1360,897141,03-05-2025,,,,
35,Employer 35,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
36,Employer 36,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
37,Employer 37,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
38,Employer 38,805,18,-,523,-,282,-,-,-,14490,1739,109,-,-,-,471,0,1848,12642,1884,897141,03-05-2025,,,,
39,Employer 39,805,7,-,523,-,282,-,-,-,5635,676,43,-,-,-,183,0,719,4916,733,897141,03-05-2025,,,,
40,Employer 40,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
41,Employer 41,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
42,Employer 42,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
43,Employer 43,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
44,Employer 44,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
45,Employer 45,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
46,Employer 46,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
47,Employer 47,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
48,Employer 48,805,13,-,523,-,282,-,-,-,10465,1256,79,-,-,-,340,0,1335,9130,1360,897141,03-05-2025,,,,
49,Employer 49,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
50,Employer 50,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
51,Employer 51,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
52,Employer 52,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
53,Employer 53,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
54,Employer 54,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
55,Employer 55,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
56,Employer 56,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
57,Employer 57,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
58,Employer 58,805,16,-,523,-,282,-,-,-,12880,1546,97,-,-,-,419,0,1643,11237,1674,897141,03-05-2025,,,,
59,Employer 59,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
60,Employer 60,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
61,Employer 61,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
62,Employer 62,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
63,Employer 63,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
64,Employer 64,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
65,Employer 65,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
66,Employer 66,805,20,-,523,-,282,-,-,-,16100,1800,121,-,-,-,523,0,1921,14179,1950,897141,03-05-2025,,,,
67,Employer 67,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
68,Employer 68,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
69,Employer 69,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
70,Employer 70,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
71,Employer 71,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
72,Employer 72,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
73,Employer 73,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
74,Employer 74,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
75,Employer 75,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
76,Employer 76,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
77,Employer 77,805,17,-,523,-,282,-,-,-,13685,1642,103,-,-,-,445,0,1745,11940,1779,897141,03-05-2025,,,,
78,Employer 78,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
79,Employer 79,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
80,Employer 80,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
81,Employer 81,981,19,-,637,-,344,-,-,-,18639,1800,0,-,-,-,0,0,1800,16839,1950,897141,03-05-2025,,,,
82,Employer 82,981,22,-,637,-,344,-,-,-,21582,1800,0,-,-,-,0,0,1800,19782,1950,897141,03-05-2025,,,,
83,Employer 83,893,22,-,579,-,314,-,-,-,19646,1800,0,-,-,-,0,0,1800,17846,1950,897141,03-05-2025,,,,
84,Employer 84,893,23,-,579,-,314,-,-,-,20539,1800,0,-,-,-,0,0,1800,18739,1950,897141,03-05-2025,,,,
85,Employer 85,981,20,-,637,-,344,-,-,-,19620,1800,0,-,-,-,0,0,1800,17820,1950,897141,03-05-2025,,,,
86,Employer 86,893,23,-,579,-,314,-,-,-,20539,1800,0,-,-,-,0,0,1800,18739,1950,897141,03-05-2025,,,,
87,Employer 87,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
88,Employer 88,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
89,Employer 89,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
90,Employer 90,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
91,Employer 91,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
92,Employer 92,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
93,Employer 93,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
94,Employer 94,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
95,Employer 95,981,22,-,637,-,344,-,-,-,21582,1800,0,-,-,-,0,0,1800,19782,1950,897141,03-05-2025,,,,
96,Employer 96,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
97,Employer 97,805,18,-,523,-,282,-,-,-,14490,1739,109,-,-,-,471,0,1848,12642,1884,897141,03-05-2025,,,,
98,Employer 98,893,21,-,579,-,314,-,-,-,18753,1800,0,-,-,-,0,0,1800,16953,1950,897141,03-05-2025,,,,
99,Employer 99,981,20,-,637,-,344,-,-,-,19620,1800,0,-,-,-,0,0,1800,17820,1950,897141,03-05-2025,,,,
100,Employer 100,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
101,Employer 101,893,22,-,579,-,314,-,-,-,19646,1800,0,-,-,-,0,0,1800,17846,1950,897141,03-05-2025,,,,
102,Employer 102,981,20,-,637,-,344,-,-,-,19620,1800,0,-,-,-,0,0,1800,17820,1950,897141,03-05-2025,,,,
103,Employer 103,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
104,Employer 104,805,19,-,523,-,282,-,-,-,15295,1800,115,-,-,-,497,0,1915,13380,1950,897141,03-05-2025,,,,
105,Employer 105,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
106,Employer 106,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
107,Employer 107,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
108,Employer 108,805,21,-,523,-,282,-,-,-,16905,1800,127,-,-,-,549,0,1927,14978,1950,897141,03-05-2025,,,,
109,Employer 109,805,18,-,523,-,282,-,-,-,14490,1739,109,-,-,-,471,0,1848,12642,1884,897141,03-05-2025,,,,
110,Employer 110,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
111,Employer 111,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
112,Employer 112,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
113,Employer 113,805,17,-,523,-,282,-,-,-,13685,1642,103,-,-,-,445,0,1745,11940,1779,897141,03-05-2025,,,,
114,Employer 114,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
115,Employer 115,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
116,Employer 116,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
117,Employer 117,981,21,-,637,-,344,-,-,-,20601,1800,0,-,-,-,0,0,1800,18801,1950,897141,03-05-2025,,,,
118,Employer 118,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
119,Employer 119,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
120,Employer 120,893,4,-,579,-,314,-,-,-,3572,429,0,-,-,-,0,0,429,3143,464,897141,03-05-2025,,,,
121,Employer 121,981,18,-,637,-,344,-,-,-,17658,1800,0,-,-,-,0,0,1800,15858,1950,897141,03-05-2025,,,,
122,Employer 122,981,23,-,637,-,344,-,-,-,22563,1800,0,-,-,-,0,0,1800,20763,1950,897141,03-05-2025,,,,
123,Employer 123,805,23,-,523,-,282,-,-,-,18515,1800,139,-,-,-,602,0,1939,16576,1950,897141,03-05-2025,,,,
124,Employer 124,805,22,-,523,-,282,-,-,-,17710,1800,133,-,-,-,576,0,1933,15777,1950,897141,03-05-2025,,,,
,Total,102108,2530,0,66328,0,35780,0,0,0,2083202,217232,13356,0,0,0,57767,0,230588,1852614,235333,,,,,,
,,,,Note:,"1. In the Wage Register, the Colomn No.18 has been taken as Employer Share.",,,,,,,,,,,,,,,,,,,,,,
,,,,,"2. In the Wage Register, the Colomn No.18 & 22, that is ESIC & EPF Employer share credited to Contract Labour ESIC & EPF A/C only.",,,,,,,,,,,,,,,,,,Category,Basic,DA,,Total
,,,,,"3. In the EPF Employer Share out of 13%, 12% is credited to Contract Labour EPF A/C and 1% Taken asa EPF Admin Charge.",,,,,,,,,,,,,,,,,,Unskilled,523,282,,805
,,,,,4. The Payment of Wages for Contract Labour is Colomn No.21 only.,,,,,,,,,,,,,,,,,,Semi Skilled,579,314,,893
,,,,,,,,,,,,,,,,,,,,,,,Skilled,637,344,,981
